complex 1;ND1;100;100;100;100;100;100;0
complex 1;ND2;100;100;100;100;100;100;0
complex 1;ND4;100;100;100;100;100;99,8687664;0
complex 1;ND5;100;100;100;100;100;100;28,84615385
complex 1;ndufa1;100;100;100;75;100;18,18181818;16,66666667
complex 1;ndufa10;23,52941176;37,5;43,47826087;23,80952381;43,47826087;60;41,66666667
complex 1;ndufa11;;100;100;100;100;;
complex 1;ndufa12;100;;;;0;0;
complex 1;ndufa2;100;66,66666667;100;100;100;75;0
complex 1;ndufa3;;100;100;100;100;;
complex 1;ndufa4a;21,56862745;32,43243243;45,09803922;34,21052632;28;42,22222222;44,68085106
complex 1;ndufa4b;100;100;0;100;100;100;25
complex 1;ndufa5;100;100;33,33333333;100;16,66666667;83,33333333;0
complex 1;ndufa6;100;;100;;;;
complex 1;ndufa7;;;100;;;;0
complex 1;ndufa8;100;66,66666667;100;0;50;100;20
complex 1;ndufa9a;100;100;100;100;75;62,5;0
complex 1;ndufab1b;100;87,5;100;66,66666667;100;53,84615385;0
complex 1;ndufb10;0;9,090909091;57,14285714;23,07692308;33,33333333;35,71428571;57,14285714
complex 1;ndufb2;100;100;100;100;;;100
complex 1;ndufb4;60;50;50;0;71,42857143;44,44444444;100
complex 1;ndufb6;33,33333333;20;20;40;66,66666667;0;60
complex 1;ndufb7;40;0;60;100;83,33333333;75;0
complex 1;ndufb8;33,33333333;;100;100;100;100;0
complex 1;ndufc2;100;0;33,33333333;0;20;;0
complex 1;ndufs1;45;34,61538462;64,9122807;32;51,2195122;42,85714286;15,55555556
complex 1;ndufs3;11,11111111;18,18181818;10;10;30,76923077;16,66666667;7,692307692
complex 1;ndufs6;100;70;100;100;69,23076923;42,85714286;50
complex 1;ndufs8a;66,66666667;57,14285714;38,88888889;14,28571429;36;50;0
complex 1;ndufv1;92,85714286;44,11764706;52,17391304;92;35,13513514;61,29032258;4,347826087
complex 1;ndufv2;66,66666667;100;66,66666667;0;50;40;22,22222222
complex 1;ndufv3;62,5;20;20;100;37,5;16,66666667;0
;;;;;;;;
complex 2;sdha;93,33333333;96,66666667;60,86956522;100;89,65517241;77,77777778;45,16129032
complex 2;sdhb;100;100;100;100;100;100;84,61538462
complex 2;sdhc;100;100;100;100;100;84,61538462;17,64705882
complex 2;sdhda;;;;;;;
complex 2;sdhdb;100;100;33,33333333;100;83,33333333;83,33333333;50
;;;;;;;;
complex 3;CYTB;98,21305842;99,97571047;99,97103968;100;100;99,97029997;0,124069479
complex 3;uqcr10;100;80;92,30769231;100;84;60;75
complex 3;uqcrb;36,36363636;40;57,14285714;20;31,25;0;0
complex 3;uqcrc1;51,72413793;30;56,66666667;34,14634146;58,92857143;20,68965517;0
complex 3;uqcrc2a;90;50;33,33333333;42,85714286;30,76923077;55,55555556;33,33333333
complex 3;uqcrc2b;100;27,27272727;80;100;100;57,14285714;0
complex 3;uqcrfs1;84,21052632;77,27272727;45,83333333;100;84,375;86,66666667;11,11111111
complex 3;uqcrq;100;100;100;100;100;92,85714286;29,41176471
;;;;;;;;
complex 4;COX1;99,77958396;100;100;100;99,98403703;100;0,174908571
complex 4;COX2;99,67414917;99,97724687;99,77794226;99,85851726;99,95500562;99,87900786;0,07315289
complex 4;COX3;100;100;100;100;100;100;0
complex 4;cox10;100;;100;100;50;50;33,33333333
complex 4;cox11;100;50;;100;100;50;0
complex 4;cox15;100;100;0;100;100;33,33333333;20
complex 4;cox17;83,33333333;76;100;100;47,05882353;75;0
complex 4;cox4i1;39,47368421;28,125;83,87096774;28,30188679;61,25;20;0
complex 4;cox4i1l;;;;;;;
complex 4;cox4i2;;100;;;;;
complex 4;cox5aa;70;77,77777778;92,30769231;75;85,71428571;80;0
complex 4;cox5ab;81,81818182;0;50;42,85714286;33,33333333;0;0
complex 4;cox5ba;77,77777778;33,33333333;75;66,66666667;88,88888889;50;0
complex 4;cox6a1;50;40;20;40;20;33,33333333;50
complex 4;cox6a2;;;;;;;
complex 4;cox6b1;;;;100;;;
complex 4;cox6b2;100;75,34246575;85,9375;70,66666667;100;70,58823529;0
complex 4;cox6c;80;47,05882353;59,25925926;68;48,7804878;46,66666667;15
complex 4;cox7a2a;25;44,44444444;75;44,44444444;55;33,33333333;9,090909091
complex 4;cox7a2l;100;100;0;100;100;;0
complex 4;cox7c;33,33333333;20;0;33,33333333;42,85714286;0;0
complex 4;cox8a;32;17,39130435;20,83333333;7,407407407;3,125;7,407407407;0
complex 4;si:dkey-85n7.8;;;100;100;;;
;;;;;;;;
complex 5;ATP6;100;100;100;100;100;100;0
complex 5;atp5f1b;27,5;40;22,22222222;47,36842105;43,90243902;23,52941176;0
complex 5;atp5f1c;94,73684211;48,71794872;80,85106383;81,25;31,11111111;66;6,493506494
complex 5;atp5f1d;75;100;80;;100;;
complex 5;atp5fa1;87,87878788;80;91,22807018;74,07407407;100;85,71428571;48,64864865
complex 5;atp5l;70;60;88,88888889;100;60;40;0
complex 5;atp5mc1;54,54545455;25;43,75;66,66666667;57,14285714;36,36363636;28
complex 5;atp5mc3a;76;52,94117647;67,64705882;87,09677419;61,81818182;68,18181818;51,85185185
complex 5;atp5mea;37,5;57,14285714;33,33333333;20;35,71428571;75;33,33333333
complex 5;atp5mf;33,33333333;36,84210526;50;20;30,76923077;25;0
complex 5;atp5pb;71,875;53,57142857;38,0952381;28,125;54,38596491;23,72881356;16,36363636
complex 5;atp5pd;91,66666667;75,86206897;97,36842105;91,30434783;97,82608696;67,74193548;3,225806452
complex 5;atp5pf;100;0;90;100;66,66666667;;0
complex 5;atp6ap1a;;;;;;;
complex 5;atp6v0a1a;88,88888889;57,89473684;100;100;96,36363636;58,33333333;10
complex 5;atp6v0a1b;;;;;;;
complex 5;atp6v0a2a;;;;0;;100;
complex 5;atp6v0a2b;100;75;40;66,66666667;41,66666667;100;20
complex 5;atp6v0b;88,88888889;63,88888889;72;83,33333333;65,2173913;78,57142857;9,375
complex 5;atp6v0ca;97,43589744;47,45762712;100;100;99,05660377;76,19047619;0
complex 5;atp6v0d1;66,66666667;44,44444444;61,53846154;42,85714286;59,09090909;71,42857143;66,66666667
complex 5;atp6v1aa;100;94,73684211;61,11111111;88,88888889;41,37931034;65;11,42857143
complex 5;atp6v1ab;84,61538462;78,57142857;67,64705882;73,33333333;73,58490566;30,76923077;9,375
complex 5;atp6v1b2;;;100;;;;
complex 5;atp6v1ba;80,95238095;70,83333333;88,37209302;80,48780488;58,62068966;50;24,61538462
complex 5;atp6v1c1a;75;41,66666667;58,33333333;72,72727273;62,5;66,66666667;7,142857143
complex 5;atp6v1c1b;100;69,23076923;90,47619048;100;56,66666667;71,42857143;13,04347826
complex 5;atp6v1d;75;100;100;100;100;66,66666667;9,090909091
complex 5;atp6v1e1b;37,5;50;0;25;50;25;7,692307692
complex 5;atp6v1f;60;63,63636364;22,22222222;77,77777778;62,5;38,46153846;41,66666667
complex 5;atp6v1g1;100;46,42857143;100;92,59259259;69,6969697;70,58823529;0
complex 5;atpv0e2;;;;;;;
complex 5;tcirg1a;;;;;100;100;100
complex 5;tcirg1b;57,89473684;59,375;68;65,38461538;58,33333333;60;47,61904762
;;;;;;;;
cytochrome c;cycsb;51,11111111;57,74647887;61,84210526;31,14754098;66,18705036;38,88888889;42,85714286
;;;;;;;;
Pi-ADP interaction;lhpp;0;;100;;;50;0
Pi-ADP interaction;ppa1b;52,94117647;87,5;51,51515152;30;64,81481481;50;35,29411765
Pi-ADP interaction;ppa2;100;50;50;40;100;50;0
